"pondID","pond_name","years_data","years_profiles","max_per_year","avg_per_year","all_years","all_params","param_years","param_last5avg_surf","last_year","programs"
"CH-550-01","Black Pond",6,6,1,1,"2001, 2003, 2005, 2006, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"CH-582-01","Meadow View Pond",2,2,1,1,"2003, 2005","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2005,"Pond and Lake Stewards"
"DE-201-01","Coles Pond",15,5,2,1.2,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","14, 15, 15, 1, 15, 14, 15, 14, 15, 15, 14, 14, 14, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, 23.2, 7.04, NA, 4.97, 0.6, 0.34, 10.53, 32.31, 5.66, 0.72, 38.1, 47.6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"DE-236-01","Scargo Lake",17,17,2,1.18,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","17, 17, 17, 1, 17, 17, 17, 16, 16, 17, 16, 16, 16, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1","2.68, 26.07, 7.95, NA, 7.05, 18.8, 0.36, 11.25, 31.7, 4.58, 1.6, 38.58, 44.24, 46.28, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"DE-281-01","Cedar Pond",13,13,2,1.23,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2015,"Pond and Lake Stewards"
"DE-325-01","Northern Simmons Pond",14,13,2,1.21,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2016,"Pond and Lake Stewards"
"DE-342-01","Bakers Pond",15,15,2,1.2,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","4.05, 25.65, 7.05, 6.22, 6.7, 0.34, 10.53, 28.49, 1.6, 1.85, 38.07, 35.08, 39.84",2018,"Pond and Lake Stewards"
"DE-348-01","Run Pond",15,14,2,1.2,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 14","1, 28.6, 6.5, 5.23, 3.8, 1.13, 35, 58.84, 14.4, 1.66, 55.42, 56.77, 60",2018,"Pond and Lake Stewards"
"DE-355-01","Flax Pond",17,17,2,1.18,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","17, 17, 17, 1, 17, 15, 17, 16, 17, 17, 17, 16, 16, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1","3.63, 25.8, 6.86, NA, 5.26, 0.93, 0.35, 10.94, 22.17, 2.65, 3.29, 38.61, 38.3, 41.54, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"DE-447-01","Eagle Pond",15,15,2,1.13,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","3.5, 25.7, 7.06, 6.31, 4.7, 0.32, 9.75, 23.24, 2.98, 0.96, 36.95, 37.94, 41.95",2018,"Pond and Lake Stewards"
"DE-597-01","Fresh Pond",14,14,2,1.21,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 6, 13, 13, 14, 14, 14, 13, 14, 14","0.5, 25.1, 5.5, 4.17, 0.25, 0.6, 18.58, 55.51, 12.33, 6.89, 46.29, 55.24, 69.99",2016,"Pond and Lake Stewards"
"EA-91-01","Molls Pond",15,15,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","1.45, 23.4, 8.48, 6.38, 5, 0.88, 27.1, 60.4, 11.02, 15.73, 51.47, 54.08, 55.76",2017,"Pond and Lake Stewards"
"EA-92-01","Ministers Pond",16,16,2,1.06,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","16, 16, 16, 1, 16, 16, 16, 15, 16, 16, 16, 15, 15, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1","2.2, 22.5, 6.23, NA, 6.4, 16.2, 0.75, 23.23, 60.49, 5.01, 10.07, 48.8, 45.21, 49.3, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"EA-93-01","School House Pond",13,13,2,1.08,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13","1.95, 23.6, 6.5, 6.5, 13.6, 0.71, 21.99, 43.89, 8.65, 4.26, 48.72, 51.77, 50.38",2016,"Pond and Lake Stewards"
"EA-95-01","Great Pond",15,15,2,1.13,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","3.05, 22.52, 7.62, 7, 24.52, 0.48, 14.79, 34.59, 4.6, 2.24, 42.97, 45.56, 44.73",2017,"Pond and Lake Stewards"
"EA-96-01","Depot Pond",1,1,1,1,"2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","4.3, 22, 7.66, 6.34, 6.3, 0.32, 9.91, 43.9, 2.67, 4.24, 37.22, 40.23, 38.98",2017,"Pond and Lake Stewards"
"EA-97-01","Deborahs Pond",1,1,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"EA-98-01","Bridge Pond",12,11,1,1,"2001, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2016, 2017, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","12, 12, 12, 1, 12, 12, 12, 11, 11, 12, 12, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1","3.04, 22.65, 7.2, NA, 6.62, 24.6, 0.44, 13.78, 50.04, 5.23, 5.02, 40.76, 45.69, 44.63, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"EA-99-01","Little Depot Pond",15,15,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 14, 15, 15, 15, 15, 15","1.6, 22.7, 7.93, 6.44, 7.35, 1.47, 45.53, 67.11, 42.06, 3.69, 53.77, 62.76, 53.25",2017,"Pond and Lake Stewards"
"EA-100-01","Jemima Pond",13,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13","3.3, 22.2, 8.22, 6.25, 4.9, 0.65, 20.13, 86.84, 4.46, 2.98, 47.44, 45.27, 42.8",2017,"Pond and Lake Stewards"
"EA-101-01","Widow Harding Pond",15,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 13, 13, 15, 15, 15, 15, 14, 15, 15, 15, 15, 15","3.2, 23.3, 6.56, 6.36, 6, 0.23, 7.12, 36.24, 1.87, 2.12, 32.46, 36.74, 43.24",2017,"Pond and Lake Stewards"
"EA-102-01","Muddy Pond",13,2,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","12, 12, 13, 13, 13, 13, 13, 12, 13, 13, 13, 13, 12","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2014,"Pond and Lake Stewards"
"EA-103-01","Herring Pond",16,16,2,1.06,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","16, 16, 16, 1, 16, 16, 16, 15, 16, 16, 16, 15, 15, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1","4.42, 22.65, 8.35, NA, 7.79, 60.15, 0.38, 11.77, 46.91, 3.1, 0.96, 39.66, 40.66, 38.58, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"FA-761-01","Cedar Lake",5,5,1,1,"2001, 2004, 2005, 2006, 2007","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2007,"Pond and Lake Stewards"
"FA-780-01","Trout Pond",5,2,1,1,"2001, 2004, 2005, 2006, 2007","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2007,"Pond and Lake Stewards"
"FA-832-01","Dam Pond",2,2,1,1,"2004, 2005","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2005,"Pond and Lake Stewards"
"FA-844-01","Potters Hole",1,0,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"FA-845-01","Wing Pond",1,1,2,2,"2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TN, Chla, Phaeo, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Cape Cod Regional Pond Monitoring Program"
"FA-855-01","Coonamessett Pond",1,1,1,1,"2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"FA-857-01","Deep Pond",1,1,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"FA-882-01","Round Pond",2,2,1,1,"2003, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"FA-888-01","Pickerel Pond",2,1,1,1,"2008, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"FA-893-01","Crocker Pond",7,7,1,1,"2001, 2004, 2005, 2006, 2007, 2013, 2014","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2014,"Pond and Lake Stewards"
"FA-918-01","Jenkins Pond",1,1,1,1,"2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TN, Chla, Phaeo, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Cape Cod Regional Pond Monitoring Program"
"FA-927-01","Oyster Pond",1,1,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"FA-933-01","Fresh Pond",2,2,1,1,"2001, 2005","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2005,"Pond and Lake Stewards"
"FA-993-01","Miles Pond",1,1,1,1,"2005","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2005,"Pond and Lake Stewards"
"FA-996-01","Shivericks Pond",1,1,1,1,"2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TN, Chla, Phaeo, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Cape Cod Regional Pond Monitoring Program"
"HA-306-01","Seymour Pond",14,14,2,1.07,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","5.55, 23.7, 8.13, 6.4, 5.6, 0.57, 17.66, 28.71, 3.48, 1, 45.55, 42.83, 35.3",2016,"Pond and Lake Stewards"
"HA-353-01","Hinckleys Pond",14,14,5,2,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2015, 2016, 2017, 2018, 2019","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 4, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14","1.63, 24.74, 7.6, 91.35, 6.72, 11.55, 1.02, 31.52, 26.97, 19.04, 3.78, 53.82, 55.57, 53.07",2019,"Pond and Lake Stewards"
"HA-354-01","Hawksnest Pond",11,11,4,1.36,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2019, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","11, 11, 11, 2, 11, 10, 11, 10, 11, 11, 11, 10, 10, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1","5.57, 26.75, 6.85, 85.5, 5.32, 1.1, 0.34, 10.53, 9.43, 1.58, 1, 38.07, 35.06, 35.26, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"HA-358-01","Walkers Pond",12,12,5,1.67,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2015, 2016, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","12, 12, 12, 3, 12, 12, 12, 11, 12, 12, 12, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1","3.12, 24.93, 6.87, 82.67, 5.94, 3.7, 1.27, 39.34, 31.54, 4.96, 4.4, 56.76, 46.17, 43.73, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"HA-376-01","Aunt Edies Pond",14,1,5,2.07,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2015, 2016, 2017, 2018, 2019","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 4, 14, 14, 14, 13, 14, 13, 13, 14, 13, 14","2.03, 25.27, 7.08, 85.25, 5.34, 1.48, 0.65, 20.09, 31.39, 6.78, 1.25, 46.72, 46.92, 49.84",2019,"Pond and Lake Stewards"
"HA-381-01","Cornelius Pond",8,5,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","8, 8, 8, 1, 7, 7, 7, 6, 6, 7, 7, 6, 6, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
