Temp_DO_flipped,Temp_is_DO,DO_is_Temp,DO_is_DO_sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263628,259115,267811,255671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263634,260186,271987,255712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263641,260386,340007,257993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263645,,,258221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263654,,,258510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263663,,,264373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263669,,,265106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263677,,,265993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263682,,,266515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266863,,,267070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267443,,,267150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267460,,,267255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267469,,,267281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267528,,,267383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267539,,,268396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267593,,,268643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267643,,,271505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,