CCC_GIS_ID,Name,Alt_Name,Great_Pond,Acres,Town,Aquifer Lens,Volume__cubic_meters_,Final Depth,Depth Class,% 100ft buffer developed,buffer development class
EA-96,Depot Pond, ,Yes - on State List,28.83805327,Eastham,Nauset,614726.4621,35,deep,28%,High
WE-76,Duck Pond, ,Yes - on State List,12.95285416,Wellfleet,Chequesset,575313.2473,56,deep,2%,Very Low
WE-74,Grass Pond, ,No,0.957915063,Wellfleet,Chequesset,,0.65616,shallow,,#N/A
WE-71,Dyer Pond, ,Yes - not on State List,11.77403477,Wellfleet,Chequesset,260836.7358,36,deep,3%,Very Low
WE-70,Turtle Pond, ,No,3.900807359,Wellfleet,Chequesset,,7,shallow,3%,Very Low
WE-66,Northeast Pond, ,No,3.984534268,Wellfleet,Chequesset,,11.81088,shallow,1%,Very Low
WE-65,Long Pond, ,Yes - on State List,36.88476503,Wellfleet,Chequesset,1578677.743,50,deep,10%,Low
YA-716,Jabez Neds Pond,Seine Pond,No,7.760847171,Yarmouth,Sagamore,,20,deep,37%,High
BO-644,Red Brook Pond, ,Yes - not on State List,17.46777807,Bourne,Sagamore,,10,shallow,20%,Medium
PR-1062,,,No,0.38267089,Provincetown,Pilgrim,,#N/A,#N/A,1%,Very Low
PR-7, , ,No,1.20987796,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-6, , ,No,4.381478949,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
PR-5, , ,No,2.401232044,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-3, , ,No,1.303410197,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-1063,,,No,2.756584543,Provincetown,Pilgrim,,#N/A,#N/A,0%,Very Low
PR-1064,,,No,0.399326057,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
FA-997, , ,No,0.262484716,Falmouth,Sagamore,,#N/A,#N/A,34%,High
MA-1065,,,No,0.254128225,Mashpee,Sagamore,,#N/A,#N/A,68%,Very High
MA-961, , ,No,0.284085509,Mashpee,Sagamore,,#N/A,#N/A,59%,Very High
MA-1066,,,No,0.280363295,Mashpee,Sagamore,,#N/A,#N/A,66%,Very High
BA-1067,,,No,0.809639621,Barnstable,Sagamore,,#N/A,#N/A,4%,Very Low
YA-889, , ,No,0.7594834,Yarmouth,Sagamore,,#N/A,#N/A,14%,Medium
FA-776, , ,No,0.63160484,Falmouth,Sagamore,,#N/A,#N/A,14%,Medium
HA-1068,,,No,0.763046448,Harwich,Monomoy,,#N/A,#N/A,,#N/A
YA-505, , ,No,2.207914368,Yarmouth,Sagamore,,#N/A,#N/A,22%,Medium
BA-410, , ,No,0.347420968,Barnstable,Sagamore,,#N/A,#N/A,19%,Medium
SA-1069,,,No,0.959255886,Sandwich,Sagamore,,#N/A,#N/A,25%,Medium
SA-1070,,,No,0.336804313,Sandwich,Sagamore,,#N/A,#N/A,36%,High
BO-220, , ,No,0.434614573,Bourne,Plymouth-Carver,,#N/A,#N/A,42%,High
OR-199, , ,No,0.245605127,Orleans,Nauset,,#N/A,#N/A,69%,Very High
BR-195, , ,No,0.381832081,Brewster,Monomoy,,#N/A,#N/A,0%,Very Low
PR-12, , ,No,1.860037543,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
PR-10, , ,No,1.313431495,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
PR-11, , ,No,0.966274789,Provincetown,Pilgrim,,#N/A,#N/A,1%,Very Low
FA-1012, , ,No,2.033147996,Falmouth,Sagamore,,#N/A,#N/A,24%,Medium
FA-1071,,,No,0.430147109,Falmouth,Sagamore,,#N/A,#N/A,14%,Medium
FA-934, , ,No,0.552455054,Falmouth,Sagamore,,#N/A,#N/A,60%,Very High
FA-1072,,,No,0.323137452,Falmouth,Sagamore,,#N/A,#N/A,46%,High
FA-921, , ,No,0.819644279,Falmouth,Sagamore,,#N/A,#N/A,41%,High
SA-216, , ,No,1.634290774,Sandwich,Sagamore,,#N/A,#N/A,5%,Very Low
BO-190, , ,No,4.849269989,Bourne,Plymouth-Carver,,#N/A,#N/A,26%,High
OR-152, , ,No,0.729902192,Orleans,Nauset,,#N/A,#N/A,0%,Very Low
OR-1073,,,No,1.095025073,Orleans,Nauset,,#N/A,#N/A,22%,Medium
WE-79, , ,No,1.018457745,Wellfleet,Chequesset,,#N/A,#N/A,1%,Very Low
WE-63, , ,No,0.476159718,Wellfleet,Chequesset,,#N/A,#N/A,,#N/A
TR-46, , ,No,1.178420001,Truro,Pamet,,#N/A,#N/A,67%,Very High
PR-1074,,,No,3.66513597,Provincetown,Pilgrim,,#N/A,#N/A,2%,Very Low
BA-825, , ,No,2.299601214,Barnstable,Sagamore,,#N/A,#N/A,27%,High
YA-729, , ,No,0.363293329,Yarmouth,Sagamore,,#N/A,#N/A,29%,High
YA-721, , ,No,0.655718653,Yarmouth,Sagamore,,#N/A,#N/A,,#N/A
YA-698, , ,No,0.833854373,Yarmouth,Sagamore,,#N/A,#N/A,29%,High
BO-674, , ,No,0.5911121,Bourne,Sagamore,,#N/A,#N/A,6%,Low
CH-563, , ,No,0.817612024,Chatham,Monomoy,,#N/A,#N/A,82%,Very High
YA-468, , ,No,2.020204945,Yarmouth,Sagamore,,#N/A,#N/A,11%,Medium
YA-385,Perera Pond, ,No,0.518712405,Yarmouth,Sagamore,,#N/A,#N/A,69%,Very High
HA-1075,,,No,0.268106691,Harwich,Monomoy,,#N/A,#N/A,4%,Very Low
BR-252, , ,No,3.529131862,Brewster,Monomoy,,#N/A,#N/A,14%,Medium
FA-1022, , ,No,9.478076972,Falmouth,Sagamore,,#N/A,#N/A,18%,Medium
MA-1076,,,No,0.270685952,Mashpee,Sagamore,,#N/A,#N/A,54%,Very High
FA-978, , ,No,0.340489876,Falmouth,Sagamore,,#N/A,#N/A,71%,Very High
MA-1077,,,No,0.580688755,Mashpee,Sagamore,,#N/A,#N/A,70%,Very High
MA-1078,,,No,0.816761397,Mashpee,Sagamore,,#N/A,#N/A,44%,High
BA-750,Filends Pond, ,No,5.45210336,Barnstable,Sagamore,,#N/A,#N/A,9%,Low
YA-1079,,,No,0.507602205,Yarmouth,Sagamore,,#N/A,#N/A,1%,Very Low
YA-728, , ,No,4.20826436,Yarmouth,Sagamore,,#N/A,#N/A,20%,Medium
CH-589, , ,No,2.032399213,Chatham,Monomoy,,#N/A,#N/A,10%,Medium
BA-426, , ,No,1.351535901,Barnstable,Sagamore,,#N/A,#N/A,1%,Very Low
BO-1080,,,No,1.965935588,Bourne,Plymouth-Carver,,#N/A,#N/A,38%,High
WE-1081,,,No,0.351602239,Wellfleet,Chequesset,,#N/A,#N/A,1%,Very Low
FA-1020, , ,No,3.163058917,Falmouth,Sagamore,,#N/A,#N/A,10%,Low
FA-1001, , ,No,0.230383175,Falmouth,Sagamore,,#N/A,#N/A,34%,High
FA-1000, , ,No,1.197808146,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
FA-952, , ,No,3.31373741,Falmouth,Sagamore,,#N/A,#N/A,1%,Very Low
FA-1082,,,No,0.244518511,Falmouth,Sagamore,,#N/A,#N/A,5%,Low
MA-919, , ,No,0.637060655,Mashpee,Sagamore,,#N/A,#N/A,,#N/A
MA-890, , ,No,0.579615949,Mashpee,Sagamore,,#N/A,#N/A,47%,High
EA-106, , ,No,0.666313968,Eastham,Nauset,,#N/A,#N/A,51%,Very High
WE-78, , ,No,0.467395232,Wellfleet,Chequesset,,#N/A,#N/A,33%,High
WE-75, , ,No,0.445369929,Wellfleet,Chequesset,,#N/A,#N/A,,#N/A
FA-945, , ,No,0.800131479,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
FA-940, , ,No,1.896884451,Falmouth,Sagamore,,#N/A,#N/A,5%,Low
YA-886, , ,No,1.253745677,Yarmouth,Sagamore,,#N/A,#N/A,6%,Low
BA-785, , ,No,0.421862704,Barnstable,Sagamore,,#N/A,#N/A,75%,Very High
BA-778, , ,No,0.402514853,Barnstable,Sagamore,,#N/A,#N/A,24%,Medium
HA-525,Sand Pond, ,Yes - on State List,23.39379979,Harwich,Monomoy,391923.7256,25,deep,11%,Medium
CH-425,Trout Pond, ,No,4.926853411,Chatham,Monomoy,,16.469616,deep,24%,Medium
FA-937,Flax Pond, ,Yes - on State List,22.8234587,Falmouth,Sagamore,,30,deep,17%,Medium
YA-711,Big Sandy Pond,Flax Pond,Yes - on State List,20.06687636,Yarmouth,Sagamore,,20,deep,36%,High
CH-481,Ryders Pond, ,No,4.974758932,Chatham,Monomoy,34485.11016,15,deep,14%,Medium
CH-463,Schoolhouse Pond, ,Yes - on State List,22.54165716,Chatham,Monomoy,750382.5254,47,deep,9%,Low
CH-439,Minister Pond, ,No,2.712428238,Chatham,Monomoy,,14.369904,deep,21%,Medium
CH-436,Pickerel Pond, ,No,4.911220757,Chatham,Monomoy,,#N/A,#N/A,15%,Medium
BA-411,Hinckley Pond,Coggins Pond,Yes - not on State List,10.50648471,Barnstable,Sagamore,,21.3252,deep,21%,Medium
BA-782,Red Lily Pond, ,No,4.822389774,Barnstable,Sagamore,15250.02256,6,shallow,27%,High
BA-731,Pattys Pond, ,No,8.198231546,Barnstable,Sagamore,,#N/A,#N/A,4%,Very Low
CH-554,Bearses Pond, ,No,2.377432302,Chatham,Monomoy,,#N/A,#N/A,6%,Low
BO-515,Mill Pond, ,No,0.987006939,Bourne,Sagamore,,#N/A,#N/A,40%,High
CH-484,Marys Pond, ,No,4.128174485,Chatham,Monomoy,,11.97492,shallow,3%,Very Low
CH-479,Barclay Pond, ,No,2.988790917,Chatham,Monomoy,,27.72276,deep,0%,Very Low
CH-458,Goose Pond, ,Yes - on State List,40.88393269,Chatham,Monomoy,1324424.473,52,deep,5%,Very Low
FA-938,Mares Pond, ,Yes - on State List,28.62498059,Falmouth,Sagamore,1076019.032,55,deep,20%,Medium
BA-756,Aunt Bettys Pond, ,No,7.296972184,Barnstable,Sagamore,,3.2808,shallow,46%,High
YA-692,Horse Pond,Horn Pond,Yes - on State List,30.91325804,Yarmouth,Sagamore,,19,deep,10%,Low
HA-562,Paddocks Pond, ,Yes - on State List,12.11514006,Harwich,Monomoy,,#N/A,#N/A,24%,Medium
HA-557,Okers Pond, ,No,0.707614256,Harwich,Monomoy,,#N/A,#N/A,1%,Very Low
OR-153,Crystal Lake,Fresh Pond,Yes - on State List,39.3415911,Orleans,Nauset,1202490.437,45,deep,37%,High
EA-91,Molls Pond, ,No,3.582242148,Eastham,Nauset,28879.44291,12,shallow,23%,Medium
FA-1004,Flax Pond, ,No,3.57461213,Falmouth,Sagamore,,#N/A,#N/A,4%,Very Low
FA-939,Spectacle Pond, ,Yes - on State List,19.28205964,Falmouth,Sagamore,,#N/A,#N/A,1%,Very Low
BA-746,Mill Pond, ,No,5.972060486,Barnstable,Sagamore,,3.2808,shallow,24%,Medium
YA-653,Plashes Pond,Plashes,Yes - not on State List,51.74017583,Yarmouth,Sagamore,,6,shallow,6%,Low
CH-550,Black Pond, ,No,1.741586058,Chatham,Monomoy,,11.4828,shallow,3%,Very Low
CH-516,White Pond, ,Yes - on State List,42.977305,Chatham,Monomoy,1618735.848,59,deep,18%,Medium
SA-295,Hoxies Pond, ,No,8.725192808,Sandwich,Sagamore,229643.5716,37,deep,15%,Medium
BR-177,Myricks Pond, ,No,4.43099732,Brewster,Monomoy,,16.404,deep,7%,Low
OR-174,Gould Pond, ,No,4.200630463,Orleans,Nauset,,15.25572,deep,1%,Very Low
EA-92,Ministers Pond,Meetinghouse Pond,Yes - on State List,22.41980703,Eastham,Nauset,249504.5874,16,deep,22%,Medium
EA-90,Krogmans Pond, ,No,2.28130942,Eastham,Nauset,,#N/A,#N/A,14%,Medium
FA-920,Parker Road Pond, ,Yes - not on State List,16.63595101,Falmouth,Sagamore,,#N/A,#N/A,1%,Very Low
BA-815,Eagle Pond, ,No,8.567396489,Barnstable,Sagamore,96699.83935,18,deep,,#N/A
YA-686,Bassetts Lot Pond, ,No,7.263551219,Yarmouth,Sagamore,,20,deep,1%,Very Low
CH-491,Emery Pond, ,Yes - on State List,14.09533661,Chatham,Monomoy,188582.7633,21,deep,26%,High
CH-421,Pinkwink Pond, ,No,1.515391319,Chatham,Monomoy,,#N/A,#N/A,9%,Low
EA-89,Higgins Pond, ,No,1.321372691,Eastham,Nauset,,#N/A,#N/A,23%,Medium
EA-87,Bakers Pond, ,No,3.664856079,Eastham,Nauset,,#N/A,#N/A,10%,Medium
SA-682,Lily Pond, ,No,5.249505926,Sandwich,Sagamore,,#N/A,#N/A,,#N/A
CH-517,Archies Pond, ,No,1.948634105,Chatham,Monomoy,,#N/A,#N/A,,#N/A
BO-511,Shop Pond, ,No,2.15038239,Bourne,Sagamore,,5.052432,shallow,31%,High
OR-247,Twinings Pond, ,No,9.202089665,Orleans,Nauset,82278.24198,14,deep,4%,Very Low
DE-246,Jonathans Pond, ,No,0.340932785,Dennis,Monomoy,,#N/A,#N/A,67%,Very High
BO-165,Foundry Pond, ,No,5.674199314,Bourne,Plymouth-Carver,,4,shallow,24%,Medium
FA-925,Deer Pond, ,No,8.714192832,Falmouth,Sagamore,,#N/A,#N/A,9%,Low
BA-733,Flowing Pond, ,No,7.805886123,Barnstable,Sagamore,,#N/A,#N/A,2%,Very Low
YA-637,Halfway Pond, ,No,4.020560954,Yarmouth,Sagamore,,#N/A,#N/A,46%,High
CH-506,South Pond, ,No,3.380978978,Chatham,Monomoy,,#N/A,#N/A,13%,Medium
YA-493,Elishas Pond,Flax Pond,Yes - on State List,10.31813921,Yarmouth,Sagamore,,20,deep,28%,High
CH-490,Duane Pond, ,No,2.839566245,Chatham,Monomoy,,#N/A,#N/A,3%,Very Low
OR-136,Bolands Pond, ,No,7.360432363,Orleans,Nauset,135037.903,21,deep,18%,Medium
BA-748,Fawcetts Pond, ,Yes - not on State List,13.31731111,Barnstable,Sagamore,,4.26504,shallow,29%,High
SA-504,Triangle Pond, ,Yes - on State List,86.27722604,Sandwich,Sagamore,,30,deep,10%,Medium
YA-483,Perch Pond, ,No,4.86225814,Yarmouth,Sagamore,,20,deep,10%,Medium
DE-369,Whittemores Pond, ,No,2.683860982,Dennis,Monomoy,,#N/A,#N/A,24%,Medium
DE-347,Clay Pond, ,No,3.761086557,Dennis,Monomoy,,#N/A,#N/A,2%,Very Low
DE-325,Northern Simmons Pond, ,No,4.793787165,Dennis,Monomoy,,21.29999924,deep,,#N/A
OR-228,Uncle Israels Pond, ,No,1.933537347,Orleans,Nauset,,5.90544,shallow,25%,Medium
BO-144,Black Pond, ,No,4.948865963,Bourne,Plymouth-Carver,,#N/A,#N/A,2%,Very Low
FA-826,Crowell Pond, ,No,1.472739143,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
BA-675,Long Pond, ,Yes - on State List,56.63349542,Barnstable,Sagamore,509115.3804,22,deep,10%,Low
CH-440,Mill Pond, ,Yes - on State List,22.98050455,Chatham,Monomoy,274861.2573,16,deep,7%,Low
SA-409,Spectacle Pond, ,Yes - on State List,106.1890499,Sandwich,Sagamore,3082629.854,43,deep,6%,Low
DE-352,Grassy Pond, ,Yes - on State List,11.94745069,Dennis,Monomoy,,#N/A,#N/A,4%,Very Low
DE-332,Southern Simmons Pond, ,No,5.588576694,Dennis,Monomoy,,#N/A,#N/A,8%,Low
BO-326,Mill Pond, ,No,0.615166907,Bourne,Plymouth-Carver,,#N/A,#N/A,25%,Medium
OR-262,Deep Pond, ,No,4.887802021,Orleans,Nauset,,20.01288,deep,13%,Medium
OR-253,Shoal Pond, ,Yes - not on State List,11.16414256,Orleans,Nauset,,8.202,shallow,13%,Medium
OR-203,Wash Pond, ,No,1.348106215,Orleans,Nauset,11295.90548,12,shallow,1%,Very Low
BA-719,Lumbert Pond, ,Yes - not on State List,10.17344981,Barnstable,Sagamore,,5.183664,shallow,8%,Low
SA-581,Lower Hog Pond,Upper Hog Pond,No,8.194989568,Sandwich,Sagamore,,26,deep,17%,Medium
SA-559,Upper Hog Pond,Lower Hog Pond,Yes - not on State List,11.7607283,Sandwich,Sagamore,,20,deep,8%,Low
CH-522,Newty Pond, ,No,4.700103179,Chatham,Monomoy,,5.544552,shallow,12%,Medium
HA-507,Flax Pond, ,Yes - on State List,15.10024892,Harwich,Monomoy,133375.7567,18,deep,6%,Low
DE-496,Duck Pond, ,No,0.517828666,Dennis,Monomoy,,#N/A,#N/A,,#N/A
YA-492,Greenough Pond, ,Yes - on State List,26.8687069,Yarmouth,Sagamore,,25,deep,1%,Very Low
YA-470,Little Greenough Pond, ,No,4.660132343,Yarmouth,Sagamore,,#N/A,#N/A,0%,Very Low
BA-382, , ,No,5.733771478,Barnstable,Sagamore,,#N/A,#N/A,12%,Medium
BA-372,Bog Pond, ,No,2.198285166,Barnstable,Sagamore,,#N/A,#N/A,1%,Very Low
SA-324,Mill Pond,Nye Pond,No,6.694631165,Sandwich,Sagamore,,#N/A,#N/A,25%,High
BR-205,Schoolhouse Pond, ,No,6.805394013,Brewster,Monomoy,,10,shallow,23%,Medium
OR-167,Bakers Pond, ,Yes - on State List,31.1420429,Orleans,Nauset,1432831.736,60,deep,8%,Low
BR-162,Owl Pond, ,No,3.902415946,Brewster,Monomoy,,29.5272,deep,10%,Medium
SA-615,Pimlico Pond, ,Yes - not on State List,16.92513745,Sandwich,Sagamore,233475.5243,25,deep,31%,High
HA-532,Island Pond, ,No,2.87502801,Harwich,Monomoy,,#N/A,#N/A,2%,Very Low
SA-526,Peters Pond, ,Yes - on State List,135.0273587,Sandwich,Sagamore,4124658.959,57,deep,16%,Medium
BO-498,The Basin, ,No,2.031597146,Bourne,Sagamore,,#N/A,#N/A,2%,Very Low
YA-487,Muddy Pond, ,No,2.353102419,Yarmouth,Sagamore,,20,deep,2%,Very Low
YA-457,Millers Pond, ,No,5.930031166,Yarmouth,Sagamore,,20,deep,,#N/A
YA-422,Howes Pond, ,No,2.088481755,Yarmouth,Sagamore,,15,deep,5%,Very Low
OR-264,Uncle Seths Pond, ,No,5.777735419,Orleans,Nauset,,11.285952,shallow,15%,Medium
BR-161,Vespers Pond, ,No,1.85730854,Brewster,Monomoy,,#N/A,#N/A,8%,Low
BR-160,Keeler Pond, ,No,3.29533046,Brewster,Monomoy,,#N/A,#N/A,5%,Low
BR-158,Lees Pond, ,No,2.486402015,Brewster,Monomoy,,#N/A,#N/A,19%,Medium
CH-524,Black Pond, ,No,4.292150377,Chatham,Monomoy,34635.59733,16,deep,13%,Medium
YA-494,Long Pond, ,No,8.485012081,Yarmouth,Sagamore,,25,deep,27%,High
BA-430,Andreas Pond, ,No,0.801461517,Barnstable,Sagamore,,#N/A,#N/A,23%,Medium
BO-169,Goat Pasture Pond,Goat Pond,Yes - not on State List,22.62819117,Bourne,Plymouth-Carver,,5,shallow,2%,Very Low
BR-163,Triangle Pond, ,No,1.735759799,Brewster,Monomoy,,#N/A,#N/A,0%,Very Low
FA-833,Turtle Pond, ,No,2.372696786,Falmouth,Sagamore,,#N/A,#N/A,5%,Very Low
YA-472,Dennis Pond, ,Yes - on State List,48.32412519,Yarmouth,Sagamore,423581.0776,18,deep,7%,Low
BR-225,Smith Pond, ,Yes - on State List,12.28929194,Brewster,Monomoy,,10.367328,shallow,6%,Low
BR-202,Eel Pond, ,No,3.335261613,Brewster,Monomoy,,13.812168,deep,3%,Very Low
BR-194,Higgins Pond,White Pond,Yes - on State List,29.46527434,Brewster,Monomoy,1396856.472,67,deep,1%,Very Low
BR-168,Flax Pond,Flat Pond,Yes - on State List,52.66507063,Brewster,Monomoy,3209382.618,75,deep,1%,Very Low
EA-94,Uncle Dans Pond, ,No,2.214236274,Eastham,Nauset,,#N/A,#N/A,6%,Low
HA-500,Abrams Pond, ,No,0.816668058,Harwich,Monomoy,,#N/A,#N/A,14%,Medium
DE-447,Eagle Pond, ,Yes - on State List,8.114671673,Dennis,Monomoy,,24,deep,3%,Very Low
DE-348,Run Pond, ,Yes - on State List,8.768727743,Dennis,Monomoy,,10.5,shallow,4%,Very Low
DE-340,Cash Pond, ,No,2.407925211,Dennis,Monomoy,,#N/A,#N/A,,#N/A
BA-737,Long Pond, ,Yes - not on State List,54.31713392,Barnstable,Sagamore,909545.0915,23,deep,61%,Very High
BO-709,Cuffs Pond, ,No,1.1941232,Bourne,Sagamore,,#N/A,#N/A,32%,High
BO-687,Long Pond, ,No,7.233664798,Bourne,Sagamore,,#N/A,#N/A,3%,Very Low
BA-646,Mary Dunn Pond,Halfway Pond,Yes - not on State List,18.08405016,Barnstable,Sagamore,59199.8396,9,shallow,2%,Very Low
YA-625,Crow Pond, ,No,0.749526723,Yarmouth,Sagamore,,#N/A,#N/A,4%,Very Low
BO-495,Freeman Pond, ,No,2.501451959,Bourne,Plymouth-Carver,,3,shallow,,#N/A
BA-473,Flax Pond,Lily Pond,No,2.847737265,Barnstable,Sagamore,,#N/A,#N/A,30%,High
BO-477,Upper Pond, ,No,1.609234413,Bourne,Sagamore,,#N/A,#N/A,,#N/A
HA-414,White Pond,Lizzies Pond,Yes - on State List,12.29979021,Harwich,Monomoy,,26.2464,deep,21%,Medium
BR-313,Walkers Pond,Mill Pond,Yes - on State List,105.2431006,Brewster,Monomoy,590376.7108,10,shallow,5%,Very Low
BR-272,Upper Mill Pond,Mill Pond,Yes - on State List,260.1000261,Brewster,Monomoy,4564785.5,30,deep,8%,Low
BR-269,Canoe Pond, ,Yes - on State List,13.79258978,Brewster,Monomoy,,20,deep,14%,Medium
BR-245,Lower Mill Pond, ,Yes - on State List,51.64770572,Brewster,Monomoy,246043.7231,13,deep,10%,Low
BR-192,Little Cliff Pond, ,Yes - on State List,35.63063902,Brewster,Monomoy,936062.2367,37,deep,1%,Very Low
